EVENT,FOR,WHERE,CITY,STATE,DAY,DATE,CREATED
Open Mat,Christmas Eve Open Mat,Burgess MMA,Manchester,NH,Wednesday,12/24/2025,
Open Mat,Holiday Open Mat,Connors MMA,Norwood,MA,Wednesday,12/24/2025,
Open Mat,Holiday Open Mat,Team Flo,Tyngsboro,MA,Wednesday,12/24/2025,
Open Mat,Holiday Open Mat,South Boston BJJ,Boston,MA,Wednesday,12/24/2025,
Open Mat,Christmas Eve Open Mat,Gentle Art Dojo,Littleton,MA,Wednesday,12/24/2025,
Open Mat,Holiday Open Mat,CT Submission Grappling,Bridgeport,CT,Wednesday,12/24/2025,
Open Mat,Holiday Open Mat,Precision Jiujitsu,Hudson,NH,Wednesday,12/24/2025,
Open Mat,Holiday Open Mat,Radius Martial Arts,Fairfield,CT,Wednesday,12/24/2025,
Open Mat,Holiday Open Mat,Primal Jiujitsu,Derry,NH,Wednesday,12/24/2025,
Open Mat,Holiday Open Mat,Atom JiuJitsu,Newton,MA,Wednesday,12/24/2025,
Open Mat,Holiday Open Mat,Pajama Strangle Time,Providence,RI,Wednesday,12/24/2025,
Open Mat,Christmas Eve Open Mat,CT Combat Training Center,Oakville,CT,Wednesday,12/24/2025,
Open Mat,Christmas Eve Open Mat,Giannetti Martial Arts,Whitman,MA,Wednesday,12/24/2025,
Open Mat,Holiday Open Mat,Balance Point BJJ,Milford,NH,Wednesday,12/24/2025,
Open Mat,Holiday Open Mat,Unit 232,Littleton,MA,Wednesday,12/24/2025,
Open Mat,Holiday Open Mat,Connors MMA,Norwood,MA,Thursday,12/25/2025,
Open Mat,Holiday Open Mat,South Boston BJJ,Boston,MA,Thursday,12/25/2025,
Open Mat,Holiday Open Mat,CT Submission Grappling,Bridgeport,CT,Thursday,12/25/2025,
Open Mat,Holiday Open Mat,Unit 232,Littleton,MA,Thursday,12/25/2025,
Open Mat,Holiday Open Mat,Unit 232,Littleton,MA,Friday,12/26/2025,
Comp,Grappling Industries,,Milford,NH,Sunday,12/28/2025,
Open Mat,New Years Open Mat,Hammer Jiu Jitsu,Fairfield,CT,Wednesday,12/31/2025,
Open Mat,New Years Open Mat,Port City BJJ,Kittery,ME,Wednesday,12/31/2025,
Open Mat,New Years Open Mat,Team Link NH,Hooksett,NH,Wednesday,12/31/2025,
Open Mat,New Years Open Mat,RedZone Jiu Jitsu,Monroe,CT,Wednesday,12/31/2025,
Open Mat,New Years Open Mat,Dandelion BJJ,West Haven,CT,Wednesday,12/31/2025,
Open Mat,New Years Open Mat,Pajama Strangle Time,Providence,RI,Wednesday,12/31/2025,
Open Mat,New Years Open Mat,Balance Point BJJ,Milford,NH,Wednesday,12/31/2025,
Open Mat,New Years Open Mat,Atom JiuJitsu,Newton,MA,Wednesday,12/31/2025,
Open Mat,New Years Open Mat,NESF,Arlington,MA,Wednesday,12/31/2025,
Open Mat,New Years Open Mat,Giannetti Martial Arts,Whitman,MA,Wednesday,12/31/2025,
Open Mat,New Years Open Mat,Precision Jiujitsu,Hudson,NH,Wednesday,12/31/2025,
Open Mat,New Years Open Mat,CT Submission Grappling,Bridgeport,CT,Wednesday,12/31/2025,
Open Mat,New Years Open Mat,Gracie Gym,Windham,ME,Thursday,01/01/2026,
Open Mat,New Years Open Mat,Port City BJJ,Kittery,ME,Thursday,01/01/2026,
Open Mat,New Years Open Mat,Team Link NH,Hooksett,NH,Thursday,01/01/2026,
Open Mat,New Years Open Mat,Pajama Strangle Time,Providence,RI,Thursday,01/01/2026,
Open Mat,New Years Open Mat,Balance Point BJJ,Milford,NH,Thursday,01/01/2026,
Open Mat,New Years Open Mat,Mass BJJ The Valley,Devens,MA,Thursday,01/01/2026,
Open Mat,New Years Open Mat,CT Submission Grappling,Bridgeport,CT,Thursday,01/01/2026,
Open Mat,New Years Open Mat,Underdog MMA,West Hartford,CT,Friday,01/02/2026,
Comp,Grappling Industries,,Boston,MA,Saturday,01/03/2026,
Comp (Invite),Reality Righting,Mohegan Sun Arena,Uncasville,CT,Saturday,01/03/2026,
Women's Only,Women’s Only Open Mat,Radius Martial Arts,Fairfield,CT,Sunday,01/04/2026,
Open Mat,Mega Mat Open Mat,Coventry BJJ,Coventry,RI,Sunday,01/04/2026,
Open Mat,Women’s Only Open Mat,Fenix BJJ,Tewksbury,MA,Saturday,01/10/2026,
Seminar,Paulo PiuPiu Silva,Brabos Brazilian Jiu Jiutsu,North Andover,MA,Saturday,01/10/2026,
Seminar,Diego Pato,Morselli Jiu Jitsu,Taunton,MA,Saturday,01/10/2026,
Seminar,Marcos Cunha,TMC Danbury BJJ,Danbury,CT,Saturday,01/10/2026,
Grand Opening,Leverage Jiu Jitsu Grand Opening,Leverage Jiu Jitsu,Concord,NH,Saturday,01/10/2026,
Women's Only,True Strength All Levels Event,RedZone Jiu Jitsu,Monroe,CT,Sunday,01/11/2026,
Women's Only,Women’s Only Open Mat,Team Flo,Tyngsboro,MA,Tuesday,01/13/2026,
Seminar,Marcelo Alonso,Kevin Watson BJJ,Dover,NH,Saturday,01/17/2026,
Comp,Gaman Submission Challenge,,Newtown,CT,Saturday,01/17/2026,
Comp (Invite),Fight Back - Women’s Only Invtnl.,Integrated Martial Arts,West Boylston,MA,Saturday,01/17/2026,
Comp (Invite),Flow Sub Only Underground 6,,Rockland,ME,Saturday,01/17/2026,
Open Mat,Spar Club Open Sparring,Iron Lion Team,Bridgeport,CT,Sunday,01/18/2026,
Seminar,Nick Fiore,Z Team Jiu Jitsu,Fitchburg,MA,Wednesday,01/21/2026,
Seminar,Luigi Mondelli,Technique BJJ,Prospect,CT,Saturday,01/24/2026,
Seminar,Shawn Melanson,Alpha Nerds Facility,Natick,MA,Saturday,01/24/2026,
Seminar,Carlos Henrique,Carlson Gracie Team CT,Stamford,CT,Saturday,01/24/2026,
Seminar,Johnny Durett,Underdog MMA,W. Hartford,CT,Saturday,01/24/2026,
