STATE,CITY,NAME,IG,SAT,SUN,OTA,CREATED,LAT,LON
Rhode Island,West Warwick,Rilion Gracie Rhode Island,riliongracie.ri,9:00AM,,,,41.679601,-71.521114
Massachusetts,Rockland,South Shore Sportfighting,sssportfighting,,,,,42.129251,-70.908736
Maine,Lewiston,Central Maine BJJ,centralmainebjj,,,,,44.089513,-70.172095
Rhode Island,Lincoln,Fierce Academy RI MMA BJJ,fierceacademyri,,,,,41.915455,-71.449815
Connecticut,New Haven,Carlson Gracie Jiu-Jitsu,carlsongraciect,,,,,41.310809,-72.924953
Maine,Portland,The Academy Portland,theacademymaine,1:00PM,,,,43.633157,-70.185305
New Hampshire,Londonderry,Brazilian Top Team,btt_londonderry,12:00PM,,,,42.879789,-71.392326
Connecticut,Monroe,Redzone Jiut Jitsu,redzonejiujitsu,,,,,41.339236,-73.222828
Connecticut,Woodbury,Soulcraft JiuJitsu,scissorhandsbjj,,,,,41.561632,-73.206096
Massachusetts,Millbury,5 Stones Jiu Jitsu,5stonesjiujitsu,,,,,42.192246,-71.777649
Massachusetts,North Andover,North Andover BJJ,northandoverbjj,,,,,42.673909,-71.091334
Connecticut,Norwalk,Gracie Sports HQ,graciesportsbjj,11:30AM,,,,41.092739,-73.419796
New Hampshire,North Hampton,Granite State BJJ,granitestatebjj,11:00AM,9:00AM,,,42.979934,-70.829441
Massachusetts,Easthampton,New City Jiujitsu,newcityjiujitsu,,,,,42.265435,-72.670813
Rhode Island,Newport,Mission First BJJ,missionfirstbjj,,,n,,41.476681,-71.319627
Vermont,Killington,Warriors Path MMA,warriorspathmma,,,,,43.657594,-72.784406
Connecticut,Stamford,Summit JiuJitsu,summit.jiujitsu,11:00AM,,,,41.079611,-73.54608
Massachusetts,Framingham,Dragon Lair MMA,dragon_lair_mma,,,,,42.307905,-71.436196
Maine,Brewer,Titan Athletics,titan.athletics,,,,,44.784461,-68.734559
Massachusetts,Randolph,Energy Fitness,energyfitnessma,,,,,42.178993,-71.052654
Massachusetts,Woburn,Boston BJJ,bostonbjjwoburn,11:30AM,,,,42.488703,-71.154383
Massachusetts,Canton,Lauzon MMA,lauzonmmacanton,,,,,42.175737,-71.125385
Connecticut,Bridgeport,Iron Lion,iron_lion_team_,,9:00AM,,,41.187393,-73.195757
Massachusetts,Marblehead,First Colony BJJ,firstcolonybjj,9:00AM,,,,42.495629,-70.83582
Massachusetts,Woburn,Fenix BJJ,fenixbjjwoburn,11:00AM,,,,42.488703,-71.154383
New Hampshire,Exeter,Kevin Watson BJJ,kevinwatsonbjj,10:30AM,6:00PM,,,42.988453,-70.961542
Connecticut,Wallingford,Jitsu Academy CT,jitsuacademyct,,,,,41.458657,-72.804516
Maine,Freeport,Empire BJJ,empirebjjmaine,11:00AM,,,,43.844826,-70.089953
Massachusetts,Dorchester,Level Ground MMA,levelgroundmma,,,,,42.269728,-72.934495
Maine,Rangeley,Kingsguard BJJ,kingsguard_bjj,,,,,44.969379,-70.724751
Connecticut,North Haven,Ultimate MMA,ultimatemmabjj,,,,,41.381465,-72.856371
Connecticut,Danbury,Kore Integrated Combatives,korecombatives,,,,,41.398741,-73.478103
New Hampshire,Londonderry,Valle Brazilian Jiu Jitsu,valle_jiujitsu,10:00AM,,,,42.879789,-71.392326
Rhode Island,Westerly,Brausa Carlson Gracie BJJ,projeto_brausa,,,,,41.323428,-71.802458
Massachusetts,Mendon,Blue Collar Jiu Jitsu,bluecollar_bjj,,,,,42.09387,-71.544519
Connecticut,Seymour,Black Hole Jiu Jitsu,blackholejj.ct,11:00AM,6:30PM,,,41.385466,-73.083641
Connecticut,Danbury,American Top Team,attconnecticut,12:00PM,,,,41.398741,-73.478103
Rhode Island,Pawtucket,Tri-Force MMA/BJJ,triforcemmabjj,,,,,41.874824,-71.373323
Rhode Island,Providence,Death Kitty Dojo,deathkittydojo,11:30AM,,,,41.823056,-71.418784
Massachusetts,South Boston,South Boston BJJ,southbostonbjj,,9:00AM,,,42.338551,-71.018253
Maine,Blue Hills,Three Points BJJ,threepointsbjj,10:00AM,,,,44.402138,-68.527718
Maine,Windham,Gracie Gym Maine,graciegymmaine,12:00PM,,,,43.794689,-70.405329
Vermont,Barre,Granite City MMA,granitecitymma,11:00AM,,,,44.199088,-72.507979
Connecticut,Fairfield,Hammer Jiu Jitsu,hammerjiujitsu,12:00PM,,,,41.17594,-73.272046
