STATE,CITY,NAME,IG,SAT,SUN,OTA,CREATED
Massachusetts,Ludlow,Team Link Ludlow,teamlinkludlow,,,,
Massachusetts,Lynn,Seaside Jiu-Jitsu (BTT Lynn),seasidejiujitsu,,,,
Massachusetts,Lynn,Brazilian Top Team Lynn,btt.lynn,,,,
Massachusetts,Manchester,Checkmate Martial Arts,checkmate_martial_arts,,,,
Massachusetts,Marlborough,Soneca BJJ Marlborough,sonecabjj_marlboro,,,,
Massachusetts,Marlborough,Fight For Life BJJ,fight4lifebjj,,,,
Massachusetts,Medford,Sigma Martial Arts and Fitness,sigmamartialartsfitness,,,,
Massachusetts,Medford,Mau Mau BJJ,maumaubjjacademy,,,,
Massachusetts,Melrose,Nirvana Brazilian Jiu Jitsu,nirvanabrazilianjiujitsu,,,,
Massachusetts,Mendon,Blue Collar Jiu Jitsu,bluecollar_bjj,,,,
Massachusetts,Methuen,BJJ Boston 24/7/365,bjj__boston,,,,
Massachusetts,Milford,Terrinha BJJ,tdtbjj,,,,
Massachusetts,Millbury,5 Stones Jiu Jitsu,5stonesjiujitsu,,,,
Massachusetts,Natick,Bay State Brazilian Jiu-Jitsu,baystatebjj,,,,
Massachusetts,Natick,Alpha Nerds Training Facility,alphanerdsfacility,,,,
Massachusetts,New Bedford,South Coast Self Defense,southcoastselfdefensema,,,,
Massachusetts,New Bedford,Fight Sports Boston,fightsportsbostonbjj,,,,
Massachusetts,Newton,Day 1 BJJ,day1_jiujitsu_newton,,,,
Massachusetts,North Andover,Carlson Gracie Jiu-Jitsu Team (North Andover BJJ),northandoverbjj,,,,
Massachusetts,North Andover,Brabos Brazilian Jiu Jitsu,brabosbrazillianjj,,,,
Massachusetts,North Attleboro,Monkey King Martial Arts,monkeykingmmx,,,,
Massachusetts,North Billerica,ICON Jiu Jitsu USA,iconbjjusa,,,,
Massachusetts,North Dartmouth,SBG East Coast,sbgeastcoast,,,,
Massachusetts,North Reading,Imperium Martial Arts,imperium_martial_arts,,,,
Massachusetts,Northampton,Team Link,teamlinknoho,,,,
Massachusetts,Norwell,Kaizen Norwell,kaizennorwell,,,,
Massachusetts,Norwood,Luiz Paulo Brazilian Jiu Jitsu,luizpaulojiujitsu,,,,
Massachusetts,Norwood,Connor’s Martial Arts Academy,connorsmartialartsacademy,,,,
Massachusetts,Orleans,Daniel Gracie Academy Orleans,danielgracieorleans,,,,
Massachusetts,Peabody,BTT New England,bttnewengland,,,,
Massachusetts,Peabody,BST Jiu Jitsu,bst_jiu_jitsu,,,,
Massachusetts,Pittsfield,Dosier Jiu Jitsu,dosierjiujitsu,,,,
Massachusetts,Plainville,Darkside Jiu-Jitsu,darksidejiujitsu,,,,
Massachusetts,Plymouth,Daniel Gracie Academy Plymouth,danielgracieplymouth,,,,
Massachusetts,Quincy,Trifecta MMA,trifectamma,,,,
Massachusetts,Quincy,Gracie Jiu Jitsu Quincy,graciejiujitsuquincy,,,,
Massachusetts,Randolph,Energy Fitness,energyfitnessma,,,,
Massachusetts,Raynham,Lauzon MMA,lauzonmma,,,,
Massachusetts,Revere,Brazilian Top Team Revere,bttrevere,,,,
Massachusetts,Rockland,South Shore Sportfighting,sssportfighting,,,,
Massachusetts,Salem,North Shore BJJ Academy,northshorebjj,,,,
Massachusetts,Salem,Forged Krav Maga / Clinch Dirty Boxing,forged_bjj_kravmaga,,,,
Massachusetts,Sandwich,Forge Jiu-Jitsu,_forge_jiujitsu_,,,,
Massachusetts,Scituate,Gracie Barra South Shore,gbsouthshore,,,,
Massachusetts,Somerset,Danny Savery BJJ,dannysaverybjjsomerset,,,,
Massachusetts,Somerville,Brazilian Martial Arts Center (BMAC),bmacboston,,,,
Massachusetts,South Boston,Broadway Jiu-Jitsu,broadwayjiujitsu,,,,
Massachusetts,Southbridge,Mom's Basement MMA,moms_basement_mma,,,,
Massachusetts,Southbridge,Combate Real School of Jiu Jitsu,crjjschool,,,,
Massachusetts,Springfield,Springfield Submission Society,springfieldmabjjsociety,,,,
Massachusetts,Stoughton,Boston Brazilian Jiu-Jitsu Stoughton,bostonbjjstoughton,,,,
Massachusetts,Stoughton,Maxx Training Center,maxx_center,,,,
Massachusetts,"Swampscott, MA",New England Warrior Arts,newenglandwarriorarts,,,,
Massachusetts,Tewksbury,Daniel Gracie Academy,danielgracienorthshore,,,,
Massachusetts,Tewksbury,2002 Jiu Jitsu,2002jiujitsu,,,,
Massachusetts,Tyngsboro,Team Flo Brazilian Jiu Jitsu,team_flo_bjj,,,,
Massachusetts,Vineyard Haven,Blitz Fitness,blitzfitnessofmv,,,,
Massachusetts,W. Springfield,Battleground JiuJitsu,battlegroundjiujitsu,,,,
Massachusetts,W. Springfield,Gabriel Gladiator Training Center,gabrielgladiator.tc,,,,
Massachusetts,Wakefield,Defensive Edge Martial Arts,defensiveedge,,,,
Massachusetts,Waltham,Atlas Jiu Jitsu Waltham,atlasjiujitsuwaltham,,,,
Massachusetts,Waltham,WatchCity MMA,watchcitymma,,,,
Massachusetts,Waltham,Snake Pit New England,snakepitnewengland,,,,
Massachusetts,Waltham,Watch City MMA,watch_city_mma,,,,
Massachusetts,Watertown,Theodorou Academy of Jiu Jitsu,theodorouacademyjiujitsu,,,,
Massachusetts,Watertown,Kimura BJJ USA Official,kimurabjjusaofficial,,,,
Massachusetts,Webster,Team Link BJJ and MMA,team_link_webster_bjj_and_mma,,,,
Massachusetts,West Boylston,Integrated Martial Arts Worcester,ima.worcester,,,,
Massachusetts,West Bridgewater,Luiz Paulo Brazilian Jiu Jitsu (West Bridgewater),luizpaulojiujitsuwb,,,,
Massachusetts,West Roxbury (Boston),Viver MMA,viver.mma,,,,
Massachusetts,Westborough,Integrated Martial Arts,integrated_martialarts,,,,
Massachusetts,Westborough,Jamaica’s Ground BJJ,jamaicas_groundbjj,,,,
Massachusetts,Westfield,Team Link Westfield,teamlinkwestfield,,,,
Massachusetts,Westford,Brazilian Top Team Westford,bttwestford,,,,
Massachusetts,Westminster,Mantis Boxing (Randy Brown),randybrownmantisboxer,,,,
Massachusetts,Weymouth,Dedeco Brazilian Jiu-Jitsu,dedecobjj,,,n,
Massachusetts,Woburn,617 BJJ Woburn,gc.jiujitsuacademy,,,,
Massachusetts,Woburn,Team Forsa / BJJ Boston,teamforsabjj,,,,
Massachusetts,Woburn,FUJI Martial Arts Woburn,fujima_woburn,,,,
Massachusetts,Worcester,Worcester Martial Arts Academy,worcester_martial_arts_academy,,,,
Massachusetts,Worcester,Soneca BJJ Worcester,sonecabjj_worcester,,,,
Maine,Bangor,Young's MMA,youngsmma,,,,
Maine,Bar Harbor,Bar Harbor BJJ,bar_harbor_bjj,,,,
Maine,Biddeford,Team Moreira,team_moreira_biddeford,,,,
Maine,Brewer,Titan Athletics,titan.athletics,,,,
Maine,Brunswick,Brunswick Academy of Martial Arts,brunswickacademy,,,,
Maine,Brunswick,First Class Fitness & MMA,fcfmma,,,,
Maine,Ellsworth,Acadia Brazilian Jiu-Jitsu,acadia_brazilian_jiu_jitsu,,,,
Maine,Farmingdale,Team Lawton Martial Arts,teamlawtonmartialarts,,,,
Maine,Farmington,Foundry BJJ,foundryfarmington,,,,
Maine,Freeport,Empire Brazilian Jiu Jitsu Maine,empirebjjmaine,,,,
Maine,Gray,Carll Clan BJJ,carllclanbjj,,,,
Maine,Lewiston,Central Maine BJJ (CMBJJ),centralmainebjj,,,,
Maine,Portland,Blue Wave Brazilian Jiu-Jitsu,bluewavebjj,,,,
Maine,Rangeley,Kingsguard Brazilian Jiu Jitsu,kingsguard_bjj,,,,
Maine,Saco,Evolution Athletix,evoathletix,,,,
Maine,Sanford,Clandestine Submissions,clandestinesubmissions,,,,
Maine,South Portland,Southern Maine BJJ,southernmaine_bjj,,,,
Maine,South Portland,Choi Institute of Martial Arts & Science,choi_institute_mma,,,,
Maine,Westbrook,De La Riva Alexey BJJ,delariva_alexeybjj,,,,
Maine,Westbrook,Alexey Pickerell BJJ (De La Riva),alexeypickerellbjj,,,,
New Hampshire,Brentwood,Conquer Self Defense,conquerselfdefense,,,,
New Hampshire,Concord,Averill's Martial Arts Academy,averills_martial_arts_academy,,,,
New Hampshire,Conway,Nomad Grappling Club,nomad_grappling_club,,,,
New Hampshire,Derry,Professional Martial Arts Academy (PMA Derry),pmaderry,,,,
New Hampshire,Derry,Start Brazilian Jiu Jitsu NH,start_bjj_nh,,,,
