EVENT,FOR,WHERE,CITY,STATE,DAY,DATE,CREATED
Charity Event,Turkey Roll - Food Drive,Gentle Art Dojo,Chelmsford,Massachusetts,Thursday,11/27/2025,
Open House,Holiday Open Mat,Connecticut Submission Grappling,Bridgeport,Connecticut,Friday,11/28/2025,
Open Mat,Holiday Open Mat,Atom JiuJitsu,Newton,Massachusetts,Friday,11/28/2025,
Open Mat,Holiday Open Mat,Ironhold Jiu Jitsu,Agawam,Massachusetts,Friday,11/28/2025,
Open Mat,Holiday Open Mat,Connors Martial Arts Academy,Norwood,Massachusetts,Friday,11/28/2025,
Open Mat,Holiday Open Mat,Radius Martial Arts,Fairfield,Connecticut,Friday,11/28/2025,
Open Mat,Holiday Open Mat,Precision Jiujitsu,Hudson,New Hampshire,Friday,11/28/2025,
Open Mat,Holiday Open Mat,Unit 232,Littleton,Massachusetts,Friday,11/28/2025,
Open Mat,Black Friday No Gi Open Mat,Clandestine Submissions,Sanford,Maine,Friday,11/28/2025,
Women's Only,Women’s Only Open Mat,Bazzani Martial Arts,Nashua,New Hampshire,Saturday,11/29/2025,
Seminar,Seminar + Charity Benefit,BTT Boston,Everett,Massachusetts,Saturday,11/29/2025,
Seminar,Roberto Maia,Boston BJJ,Woburn,Massachusetts,Saturday,11/29/2025,
Open Mat,Holiday Open Mat,DF Fitness,Gloucester,Massachusetts,Saturday,11/29/2025,
Comp,Grappling Industries,,Newtown,Connecticut,Saturday,11/29/2025,
Seminar,Murilo Santana,Fit Club BJJ,Fairfield,Connecticut,Sunday,11/30/2025,
Seminar,Sarah Rose,Integrated Martial Arts,Worcester,Massachusetts,Monday,12/01/2025,
Seminar,Ace Gonzalez,Whaling City Athletic Club,New London,Connecticut,Tuesday,12/02/2025,
Women's Only,Mat Sisters - Women’s Open Mat,Team Lawton Martial Arts,Farmingdale,Maine,Friday,12/05/2025,
Seminar,Diogo “Moreno” Araujo,Fit Club BJJ,Fairfield,Connecticut,Friday,12/05/2025,
Seminar,Pete The Greek Letsos,Clandestine Submissions,Sanford,Maine,Friday,12/05/2025,
Seminar,Pete The Greek Letsos,South Boston BJJ,Boston,Massachusetts,Saturday,12/06/2025,
Seminar,Mat Santos,USMMA,Bellingham,Massachusetts,Saturday,12/06/2025,
Seminar,Hiago George,Fight Sports Boston,New Bedford,Massachusetts,Saturday,12/06/2025,
